,country_id,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
108,MDG,-21.53528,47.26611,319.87,1.04,1.02,2024-11-07,1129,Aqua,MODIS,47,6.1NRT,305.49,6.29,D
109,MDG,-21.53501,46.02821,332.9,1.0,1.0,2024-11-07,1129,Aqua,MODIS,51,6.1NRT,317.42,13.08,D
110,MDG,-21.52832,45.94955,358.15,1.0,1.0,2024-11-07,1129,Aqua,MODIS,97,6.1NRT,318.23,61.44,D
111,MDG,-21.5273,46.14317,328.39,1.0,1.0,2024-11-07,1129,Aqua,MODIS,68,6.1NRT,314.76,7.56,D
112,MDG,-21.52695,45.95901,363.4,1.0,1.0,2024-11-07,1129,Aqua,MODIS,100,6.1NRT,315.68,78.59,D
113,MDG,-21.52617,46.02671,349.43,1.0,1.0,2024-11-07,1129,Aqua,MODIS,93,6.1NRT,316.9,41.22,D
114,MDG,-21.52479,46.03616,332.09,1.0,1.0,2024-11-07,1129,Aqua,MODIS,58,6.1NRT,314.07,10.8,D
115,MDG,-21.52222,45.92914,365.68,1.0,1.0,2024-11-07,1129,Aqua,MODIS,100,6.1NRT,315.39,81.45,D
116,MDG,-21.52085,45.93859,374.88,1.0,1.0,2024-11-07,1129,Aqua,MODIS,100,6.1NRT,322.01,112.77,D
117,MDG,-21.51947,45.94806,361.44,1.0,1.0,2024-11-07,1129,Aqua,MODIS,100,6.1NRT,320.06,71.22,D
118,MDG,-21.512,45.93711,368.92,1.0,1.0,2024-11-07,1129,Aqua,MODIS,100,6.1NRT,320.13,94.48,D
119,MDG,-21.51063,45.94657,342.29,1.0,1.0,2024-11-07,1129,Aqua,MODIS,88,6.1NRT,315.03,29.59,D
120,MDG,-21.50116,45.62871,326.12,1.0,1.0,2024-11-07,1129,Aqua,MODIS,64,6.1NRT,309.38,7.81,D
121,MDG,-21.49929,47.3205,322.53,1.04,1.02,2024-11-07,1129,Aqua,MODIS,62,6.1NRT,302.69,11.07,D
122,MDG,-21.49442,48.01211,319.51,1.1,1.04,2024-11-07,1129,Aqua,MODIS,63,6.1NRT,291.62,13.1,D
123,MDG,-21.48666,46.04909,331.0,1.0,1.0,2024-11-07,1129,Aqua,MODIS,71,6.1NRT,314.95,9.89,D
124,MDG,-21.48372,46.37829,333.65,1.0,1.0,2024-11-07,1129,Aqua,MODIS,80,6.1NRT,314.68,15.52,D
125,MDG,-21.47154,46.52221,330.55,1.01,1.0,2024-11-07,1129,Aqua,MODIS,77,6.1NRT,308.37,14.2,D
126,MDG,-21.47013,46.5317,337.63,1.01,1.0,2024-11-07,1129,Aqua,MODIS,85,6.1NRT,309.4,24.43,D
127,MDG,-21.46288,46.0257,342.02,1.0,1.0,2024-11-07,1129,Aqua,MODIS,88,6.1NRT,313.6,29.0,D
128,MDG,-21.45519,44.64919,327.37,1.05,1.02,2024-11-07,1129,Aqua,MODIS,70,6.1NRT,306.45,13.47,D
129,MDG,-21.45141,45.78541,330.65,1.0,1.0,2024-11-07,1129,Aqua,MODIS,74,6.1NRT,310.33,14.37,D
130,MDG,-21.45005,45.79487,326.39,1.0,1.0,2024-11-07,1129,Aqua,MODIS,65,6.1NRT,311.67,9.0,D
131,MDG,-21.43679,46.07363,350.42,1.0,1.0,2024-11-07,1129,Aqua,MODIS,94,6.1NRT,317.59,41.84,D
132,MDG,-21.4354,46.08308,373.21,1.0,1.0,2024-11-07,1129,Aqua,MODIS,100,6.1NRT,318.19,105.98,D
133,MDG,-21.4334,48.097,327.13,1.11,1.05,2024-11-07,1129,Aqua,MODIS,67,6.1NRT,274.47,26.67,D
134,MDG,-21.42656,46.08158,332.09,1.0,1.0,2024-11-07,1129,Aqua,MODIS,77,6.1NRT,315.38,11.25,D
135,MDG,-21.41456,45.91492,329.73,1.0,1.0,2024-11-07,1129,Aqua,MODIS,73,6.1NRT,312.71,10.95,D
136,MDG,-21.4091,46.26274,332.9,1.0,1.0,2024-11-07,1129,Aqua,MODIS,79,6.1NRT,315.85,14.46,D
137,MDG,-21.40681,46.33995,333.56,1.0,1.0,2024-11-07,1129,Aqua,MODIS,80,6.1NRT,313.65,14.7,D
138,MDG,-21.40542,46.34944,328.13,1.0,1.0,2024-11-07,1129,Aqua,MODIS,73,6.1NRT,313.01,7.28,D
139,MDG,-21.40038,47.30709,323.53,1.04,1.02,2024-11-07,1129,Aqua,MODIS,65,6.1NRT,303.38,13.67,D
140,MDG,-21.36926,45.64888,339.67,1.0,1.0,2024-11-07,1129,Aqua,MODIS,86,6.1NRT,310.21,28.19,D
141,MDG,-21.3679,45.65837,327.87,1.0,1.0,2024-11-07,1129,Aqua,MODIS,69,6.1NRT,309.24,11.75,D
142,MDG,-21.35649,46.31195,331.35,1.0,1.0,2024-11-07,1129,Aqua,MODIS,77,6.1NRT,311.56,13.87,D
143,MDG,-21.22495,46.93782,327.55,1.02,1.01,2024-11-07,1129,Aqua,MODIS,75,6.1NRT,312.79,11.21,D
144,MDG,-21.2198,46.29571,325.61,1.0,1.0,2024-11-07,1129,Aqua,MODIS,53,6.1NRT,308.23,8.27,D
145,MDG,-21.01801,44.13846,327.47,1.08,1.04,2024-11-07,1129,Aqua,MODIS,54,6.1NRT,304.97,9.47,D
146,MDG,-21.01084,45.06196,323.22,1.02,1.01,2024-11-07,1129,Aqua,MODIS,60,6.1NRT,307.51,6.55,D
147,MDG,-21.00948,45.07158,340.34,1.02,1.01,2024-11-07,1129,Aqua,MODIS,87,6.1NRT,307.27,30.3,D
148,MDG,-20.99586,46.74741,323.2,1.02,1.01,2024-11-07,1129,Aqua,MODIS,66,6.1NRT,307.88,6.05,D
149,MDG,-20.80556,47.14724,322.53,1.04,1.02,2024-11-07,1129,Aqua,MODIS,67,6.1NRT,306.43,9.07,D
150,MDG,-20.70972,47.76911,316.8,1.09,1.04,2024-11-07,1129,Aqua,MODIS,50,6.1NRT,298.05,8.95,D
151,MDG,-20.68619,47.6181,315.71,1.08,1.04,2024-11-07,1129,Aqua,MODIS,30,6.1NRT,297.16,6.97,D
152,MDG,-20.66544,44.36718,325.89,1.05,1.03,2024-11-07,1129,Aqua,MODIS,68,6.1NRT,302.34,8.82,D
153,MDG,-20.66406,44.37711,327.65,1.05,1.02,2024-11-07,1129,Aqua,MODIS,62,6.1NRT,301.48,11.5,D
154,MDG,-20.59372,44.41663,324.74,1.05,1.02,2024-11-07,1129,Aqua,MODIS,30,6.1NRT,301.76,11.95,D
